year,total,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1976,9641,0,0,227,0,3288,0,205,224,72,0,156,0,0,142,0,0,0,0,119,126,29,1920,22,0,209,68,1204,47,0,100,243,346,0,96,6678,0,0,1313,230,0,0,1043,277,372,2795,122,34,0,24,660
1978,8927,4,19,0,11,0,104,0,200,0,14,0,47,1123,0,3855,530,94,0,95,0,375,2542,166,246,0,319,39,0,7477,252,775,0,869,0,0,36,127,0,12,423,35,113,0,0,0,0,0,0,0,72
1980,55457,5885,816,40866,138,121,22803,283,0,5364,15229,9,0,184,527,817,58,88,137,0,56,0,0,0,0,2857,0,0,76,2881,0,0,16,0,0,26,418,582,7344,0,23,152,0,0,22,0,0,561,0,19212,0
1982,19824,0,0,128,0,1128,0,2878,494,119,0,11,0,0,642,0,0,0,0,110,75,90,174,1786,52,16609,277,47,5353,0,4801,803,4,0,82,180,0,0,130,7817,0,0,107,122,155,4947,9459,21,29,63,311
1984,15712,70,26,0,232,0,44,0,67,0,9,0,23,14565,0,287,15,0,0,25,0,371,2315,207,67,0,144,3695,0,159,50,21,0,3912,0,0,16,35,0,28,46,14,65,220,0,0,33,0,3611,0,14
1986,41869,0,462,107,68,23975,25514,37,0,537,20123,18,3182,85,114,46,27,27,1586,0,92,0,0,0,0,1520,0,0,1155,47,0,0,910,0,0,97,435,76,194,0,113,4604,0,0,13,78,0,9774,0,4526,0
1988,210087,0,0,206,0,523,0,183894,69,70425,0,13,0,0,38,0,0,0,0,11,80,78,94,240,751,42,3255,200,2491,0,665,69,25,0,123,196,0,0,47,762,0,0,39,164,51,28,27,17795,53,2523,0
1990,12869,122,39,0,3,0,235,0,74,0,0,0,112,61,0,772,19,3401,0,132,0,297,170,8785,0,0,26,134,0,51,7191,16,0,1674,0,0,6,970,0,94,51,1011,30,85,0,0,11,0,29,0,56
1992,27486,69,160,73,74,1312,588,0,0,38,27170,46,240,302,207,26,50,31,0,0,25,0,0,0,0,1327,0,0,343,2414,0,0,1821,2859,96,600,115,920,5147,0,3868,32,0,0,167,230,0,794,0,827,0
1994,14208,0,0,229,0,9788,0,209,188,27,0,18,0,0,39,0,0,0,0,125,103,208,589,1888,69,56,62,650,291,0,5053,972,134,0,227,229,0,0,7284,60,0,0,284,139,31,572,4089,339,27,150,99
1996,27312,1191,8,0,1035,0,2101,0,81,0,24698,0,170,226,0,1515,66,284,0,1238,0,1146,167,715,19,0,1794,237,0,5229,439,36,0,840,0,0,238,4958,0,99,529,8967,96,494,0,0,2025,0,13,0,265
1998,12560,75,16,19,267,539,62,42,0,91,716,19,19,5648,41,23,29,0,46,0,31,0,0,0,0,685,0,0,0,28,0,0,0,6345,86,279,44,59,58,0,1013,81,0,0,42,25,0,136,0,8773,0
2000,25061,0,0,8,0,90,0,46,407,2413,0,21,0,0,28,0,0,0,0,42,86,11,20797,1559,40,14052,3034,8671,241,0,6943,92,188,0,121,82,0,0,1156,209,0,0,32,51,48,27,2264,0,14,67,23
2002,11604,200,10,0,765,0,1655,0,116,0,904,0,49,119,0,786,7,64,160,163,0,11,83,11381,12,0,52,7,0,2581,475,49,0,899,0,0,108,126,0,13,407,0,382,340,0,0,8,0,73,0,25
2004,42755,29,6786,15,494,140,2200,39,0,34267,105,16,2,17,74,27,26,26599,96,0,56,0,0,0,0,225,0,0,72,41,0,0,28,1713,31,54,375,39,340,0,279,0,0,0,24,19,0,278,0,386,0
2006,9637,0,0,659,0,57,0,486,24,118,0,94,0,0,8,0,0,0,0,18,401,39,238,185,56,8687,0,39,251,0,185,27,5,0,21,487,0,0,168,1073,0,0,5830,63,31,46,0,116,23,25,30
2008,4153,50,0,0,16,0,355,0,80,0,265,0,80,29,0,77,108,1424,835,127,0,43,61,0,80,0,34,186,0,1313,252,94,0,731,0,0,228,3638,0,24,141,74,30,298,0,0,40,0,52,0,21
2010,18778,63,1833,47,144,398,16851,5,0,104,120,14,22,0,247,57,29,397,136,0,66,0,0,0,0,302,0,0,1785,114,0,0,6,496,12,79,22,142,10439,0,26,0,0,0,55,48,0,1986,0,1317,0
2012,27929,0,0,4762,0,76,0,5,24,228,0,75,0,0,1994,0,0,0,0,87,54,792,141,32,112,178,2746,311,27577,0,127,1076,7,0,0,1012,0,0,468,74,0,0,30,195,25,18,1610,118,57,1165,16
2014,59352,3,8632,0,173,0,7763,0,285,0,1129,0,50,680,0,653,595,278,2695,50,0,72,290,466,85,0,169,42,0,6661,240,410,0,29734,0,0,29,137,0,37,137,112,52,59,0,0,53963,0,49,0,25
2016,22037,73,109,287,72,127,1102,3,0,855,219,18,32,204,478,89,56,253,247,0,70,0,0,0,0,4783,0,0,6781,0,0,0,0,972,12,81,21,77,19917,0,4,26,0,0,26,74,0,88,0,4604,0
2018,10880,0,0,6969,0,616,0,4,104,0,0,35,0,0,1559,0,0,0,0,115,33,77,766,64,167,2105,2866,197,1961,0,271,56,0,0,421,1321,0,0,396,100,0,0,522,6581,36,23,147,153,4611,407,40
