Year,Ballot-Comparison,Ballot-Polling,Percent
1976,6651146,9110882,37.0 \%
1978,4206081,3666349,-12.8 \%
1980,7792315,8692450,11.6 \%
1982,661272,2903791,339.1 \%
1984,4990260,6212686,24.5 \%
1986,1910958,2979351,55.9 \%
1988,991002,2446013,146.8 \%
1990,401527,1725921,329.8 \%
1992,4999866,5733742,14.7 \%
1994,1366955,3333295,143.8 \%
1996,3315921,5435734,63.9 \%
1998,1797107,2341356,30.3 \%
2000,15887906,16488432,3.8 \%
2002,570971,1291846,126.3 \%
2004,3595884,5401325,50.2 \%
2006,4056656,5774473,42.3 \%
2008,11277679,20822570,84.6 \%
2010,950255,3183002,235.0 \%
2012,1660451,3798866,128.8 \%
2014,293785,2031750,591.6 \%
2016,6312790,8785388,39.2 \%
2018,9640844,12370444,28.3 \%
