Year;Ballot-Comparison;Ballot-Polling;Percent
1976;6,651,146;9,110,882;37.0 \%
1978;4,206,081;3,666,349;-12.8 \%
1980;7,792,315;8,692,450;11.6 \%
1982;661,272;2,903,791;339.1 \%
1984;4,990,260;6,212,686;24.5 \%
1986;1,910,958;2,979,351;55.9 \%
1988;991,002;2,446,013;146.8 \%
1990;401,527;1,725,921;329.8 \%
1992;4,999,866;5,733,742;14.7 \%
1994;1,366,955;3,333,295;143.8 \%
1996;3,315,921;5,435,734;63.9 \%
1998;1,797,107;2,341,356;30.3 \%
2000;15,887,906;16,488,432;3.8 \%
2002;570,971;1,291,846;126.3 \%
2004;3,595,884;5,401,325;50.2 \%
2006;4,056,656;5,774,473;42.3 \%
2008;11,277,679;20,822,570;84.6 \%
2010;950,255;3,183,002;235.0 \%
2012;1,660,451;3,798,866;128.8 \%
2014;293,785;2,031,750;591.6 \%
2016;6,312,790;8,785,388;39.2 \%
2018;9,640,844;12,370,444;28.3 \%
